"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "Log", "Prisma", "comment", "blank", "total"
"d:\Coding\Projects\bettercharts\.yarn\releases\yarn-1.18.0.cjs", "JavaScript", 0, 0, 100928, 0, 0, 0, 0, 0, 0, 0, 0, 24100, 22127, 147155
"d:\Coding\Projects\bettercharts\README.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 56
"d:\Coding\Projects\bettercharts\apps\api\.eslintrc.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Coding\Projects\bettercharts\apps\api\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\Projects\bettercharts\apps\api\dist\src\lib\getActivity.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Coding\Projects\bettercharts\apps\api\dist\src\lib\getBehaviour.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Coding\Projects\bettercharts\apps\api\dist\src\lib\getHomework.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Coding\Projects\bettercharts\apps\api\dist\src\lib\getTimetable.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Coding\Projects\bettercharts\apps\api\dist\src\lib\getUser.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Coding\Projects\bettercharts\apps\api\dist\src\server.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 103
"d:\Coding\Projects\bettercharts\apps\api\dist\src\types\ClassCharts.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Coding\Projects\bettercharts\apps\api\nodemon.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Coding\Projects\bettercharts\apps\api\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Coding\Projects\bettercharts\apps\api\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"d:\Coding\Projects\bettercharts\apps\api\src\lib\createCalendarEvent.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 8, 51
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getActivity.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getBehaviour.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getCalendar.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getDBCalendar.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getDBUser.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getHomework.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getTimetable.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Coding\Projects\bettercharts\apps\api\src\lib\getUser.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\Coding\Projects\bettercharts\apps\api\src\lib\prisma.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\api\src\server.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 23, 139
"d:\Coding\Projects\bettercharts\apps\api\src\types\ClassCharts.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Coding\Projects\bettercharts\apps\api\tsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding\Projects\bettercharts\apps\api\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10301, 0, 0, 1558, 11859
"d:\Coding\Projects\bettercharts\apps\brand\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\Coding\Projects\bettercharts\apps\brand\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Coding\Projects\bettercharts\apps\brand\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\Coding\Projects\bettercharts\apps\brand\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Coding\Projects\bettercharts\apps\brand\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Coding\Projects\bettercharts\apps\brand\src\components\CTASection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 2, 92
"d:\Coding\Projects\bettercharts\apps\brand\src\components\FooterSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 63
"d:\Coding\Projects\bettercharts\apps\brand\src\components\HeroSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 6, 154
"d:\Coding\Projects\bettercharts\apps\brand\src\components\HomeworkCardSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 4, 87
"d:\Coding\Projects\bettercharts\apps\brand\src\components\LogoCloudSection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 4, 79
"d:\Coding\Projects\bettercharts\apps\brand\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\Coding\Projects\bettercharts\apps\brand\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Coding\Projects\bettercharts\apps\brand\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Coding\Projects\bettercharts\apps\brand\tailwind.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Coding\Projects\bettercharts\apps\brand\tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Coding\Projects\bettercharts\apps\web\README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21
"d:\Coding\Projects\bettercharts\apps\web\components\AddEventPopup.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"d:\Coding\Projects\bettercharts\apps\web\components\CalendarPopup.tsx", "TypeScript React", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 10, 127
"d:\Coding\Projects\bettercharts\apps\web\components\CookieConsent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Coding\Projects\bettercharts\apps\web\components\Csf.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Coding\Projects\bettercharts\apps\web\components\Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 377, 0, 0, 0, 0, 0, 0, 10, 387
"d:\Coding\Projects\bettercharts\apps\web\components\PopupProviderComponent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 6, 63
"d:\Coding\Projects\bettercharts\apps\web\components\ReportBug.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Coding\Projects\bettercharts\apps\web\components\Updates.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"d:\Coding\Projects\bettercharts\apps\web\components\transition\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 4, 53
"d:\Coding\Projects\bettercharts\apps\web\context\CalendarContext.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\web\context\ClassChartsContext.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\web\context\PopupContext.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\web\context\SocketIOContext.tsx", "TypeScript React", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\web\context\ThemeContext.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Coding\Projects\bettercharts\apps\web\declarations.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\Projects\bettercharts\apps\web\decs.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\Projects\bettercharts\apps\web\hooks\allowClassChartsFeature.tsx", "TypeScript React", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Coding\Projects\bettercharts\apps\web\hooks\openHomeworkModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Coding\Projects\bettercharts\apps\web\lib\classNames.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Coding\Projects\bettercharts\apps\web\lib\fakeUser.ts", "TypeScript", 0, 0, 0, 0, 1179, 0, 0, 0, 0, 0, 0, 0, 8, 1187
"d:\Coding\Projects\bettercharts\apps\web\lib\setupTheme.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 9, 17, 137
"d:\Coding\Projects\bettercharts\apps\web\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\Coding\Projects\bettercharts\apps\web\next-sitemap.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Coding\Projects\bettercharts\apps\web\next.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Coding\Projects\bettercharts\apps\web\package.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"d:\Coding\Projects\bettercharts\apps\web\pages\404.tsx", "TypeScript React", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Coding\Projects\bettercharts\apps\web\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 15, 163
"d:\Coding\Projects\bettercharts\apps\web\pages\_document.tsx", "TypeScript React", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"d:\Coding\Projects\bettercharts\apps\web\pages\announcements.tsx", "TypeScript React", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Coding\Projects\bettercharts\apps\web\pages\api\[homeworkId]\_broken_uploadHomeworkAttachment.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 14, 69
"d:\Coding\Projects\bettercharts\apps\web\pages\awards.tsx", "TypeScript React", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"d:\Coding\Projects\bettercharts\apps\web\pages\behaviour.tsx", "TypeScript React", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 81
"d:\Coding\Projects\bettercharts\apps\web\pages\calendar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Coding\Projects\bettercharts\apps\web\pages\csf.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Coding\Projects\bettercharts\apps\web\pages\detentions.tsx", "TypeScript React", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 1, 10, 95
"d:\Coding\Projects\bettercharts\apps\web\pages\homework.tsx", "TypeScript React", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 14, 122
"d:\Coding\Projects\bettercharts\apps\web\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\Coding\Projects\bettercharts\apps\web\pages\login.tsx", "TypeScript React", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 11, 168
"d:\Coding\Projects\bettercharts\apps\web\pages\logout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"d:\Coding\Projects\bettercharts\apps\web\pages\overview.tsx", "TypeScript React", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 10, 170
"d:\Coding\Projects\bettercharts\apps\web\pages\report-bug.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Coding\Projects\bettercharts\apps\web\pages\timetable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\Coding\Projects\bettercharts\apps\web\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Coding\Projects\bettercharts\apps\web\public\NoHomework.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"d:\Coding\Projects\bettercharts\apps\web\public\googlef53316588f9186ae.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Coding\Projects\bettercharts\apps\web\public\manifest.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Coding\Projects\bettercharts\apps\web\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 474, 0, 0, 0, 0, 3, 56, 533
"d:\Coding\Projects\bettercharts\apps\web\tailwind.config.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 98
"d:\Coding\Projects\bettercharts\apps\web\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Projects\bettercharts\apps\web\types\Calendar.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Coding\Projects\bettercharts\apps\web\types\ClassCharts.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Coding\Projects\bettercharts\apps\web\types\Popup.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Coding\Projects\bettercharts\apps\web\types\Theme.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Coding\Projects\bettercharts\apps\web\types\next.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Coding\Projects\bettercharts\apps\web\ui\Announcement.tsx", "TypeScript React", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"d:\Coding\Projects\bettercharts\apps\web\ui\Badge.tsx", "TypeScript React", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\Projects\bettercharts\apps\web\ui\BarChartWeeklyBreakdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 11, 131
"d:\Coding\Projects\bettercharts\apps\web\ui\BehaviourBreakdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Coding\Projects\bettercharts\apps\web\ui\Button.tsx", "TypeScript React", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"d:\Coding\Projects\bettercharts\apps\web\ui\Calendar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"d:\Coding\Projects\bettercharts\apps\web\ui\Card.tsx", "TypeScript React", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\Projects\bettercharts\apps\web\ui\Container.tsx", "TypeScript React", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Coding\Projects\bettercharts\apps\web\ui\DangerButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 2, 126
"d:\Coding\Projects\bettercharts\apps\web\ui\Detention.tsx", "TypeScript React", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 7, 194
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkCategory.tsx", "TypeScript React", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkItem.tsx", "TypeScript React", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 7, 167
"d:\Coding\Projects\bettercharts\apps\web\ui\HomeworkModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 25, 15, 323
"d:\Coding\Projects\bettercharts\apps\web\ui\Input.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Coding\Projects\bettercharts\apps\web\ui\Label.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Coding\Projects\bettercharts\apps\web\ui\PieChartBreakdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 28, 203
"d:\Coding\Projects\bettercharts\apps\web\ui\Separator.tsx", "TypeScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Coding\Projects\bettercharts\apps\web\ui\SimpleSelect.tsx", "TypeScript React", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 5, 108
"d:\Coding\Projects\bettercharts\apps\web\ui\Switch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"d:\Coding\Projects\bettercharts\apps\web\ui\Timeline.tsx", "TypeScript React", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 8, 127
"d:\Coding\Projects\bettercharts\apps\web\ui\Timetable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 4, 97
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\CalendarWeekDays.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\CalendarWeeklyDays.tsx", "TypeScript React", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 13, 200
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\Day.tsx", "TypeScript React", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\MobileEventsView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\WeekDayContent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 4, 16, 159
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\WeeklyDay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\views\MonthView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 4, 30, 201
"d:\Coding\Projects\bettercharts\apps\web\ui\calendar\views\WeekView.tsx", "TypeScript React", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"d:\Coding\Projects\bettercharts\apps\web\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10340, 0, 0, 1558, 11898
"d:\Coding\Projects\bettercharts\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 24
"d:\Coding\Projects\bettercharts\packages\config\eslint-preset.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Coding\Projects\bettercharts\packages\config\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Coding\Projects\bettercharts\packages\tsconfig\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\Projects\bettercharts\packages\tsconfig\base.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Coding\Projects\bettercharts\packages\tsconfig\nextjs.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Projects\bettercharts\packages\tsconfig\package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding\Projects\bettercharts\packages\tsconfig\react-library.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding\Projects\bettercharts\turbo.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 15
"Total", "-", 317, 59, 101282, 59, 1807, 4735, 497, 56, 46, 20641, 24, 24174, 25953, 179650